code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
5449000136404,"Minute Maid Antiox Piña, Grosella Negra y Ciruela",Minute Maid,beverages,france,,,,c,4.0,,"67% zumo de frutas a partir de concentrado (45% pina, 17 % grosella negra, 5% ciruela), agua, estabilizante pectina, vitamina C edulcorante glucésidos de estevioMy aromas.",,
5449000137586,Minute Maid rouge sensation,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate",france,"can, drink-can",Distributeur,"Lyon,France",c,4.0,,"Jus de fruits à base de concentré : pomme (84,3%), framboise (13,1%), cassis (2,6%).",,
5449000142573,Limon & nada,Minute Maid,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas, lemonade","france, spain",plastic,,,e,,,,,
5449000149596,"Minute Maid Antiox Manzana, Uva y Kiwi",Minute Maid,,france,,,,unknown,,,,,
5449000156365,Minute Maide Duofrutas MEDITERRÁNEO,Minute Maid,beverages,france,,,,e,,,,,
5449000156389,Duofrutas Tropical,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices","france, spain",,,,e,4.0,,"Agua, azúcar, 10% leche desnatada, 10% zumo de frutas a partir de concentrado (8% naranja, 1% mango y 1% piña), estabilizante pectina, correctores de acidez: ácido cítrico y citrato sódico, aromas, antioxidante ácido ascórbico, colorante betacaroteno y vitamina E.",,
5449000176820,Minute maid exotic,Minute Maid,beverages,france,,,,e,4.0,,"Eau, sucre, Jus des Orange, Pomme et passion, acide citrique (E330), Pectine, aromes, Metabisulphite de Sodium, Couleur de carotene de Beta",,
5449000179661,Limon & Nada - Citronnade,Minute Maid,"beverages, sweetened-beverages, citronnades",france,"can, drink-can",,"Marseille,France",unknown,4.0,,Eau ; jus de citron à base de concentré (13%) ; sucre ; pulpe de citron ; arômes ; antioxydant ; acide ascorbique ; colorant : bêta-carotène,,
5449000180247,Mangue Pomme,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages",france,,,,unknown,,,,,
5449000180285,Minute Maid,Minute Maid,,france,,,,unknown,,,,,
5449000193476,Bebida a base de zumo de naranja a partir de,Minute Maid,,france,,,,unknown,,,,,
5449000193490,Minute Maid Stevia Piña,Minute Maid,beverages,france,,,,d,,,,,
5449000196002,Fruit & Nada Orange avec une touche de Goyave,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, sweetened-beverages",france,"metal, can, drink-can",Carrefour City,"Paris,France",unknown,4.0,,"Eau, jus de fruits à base de concentré 12% (orange 10%, goyave 2%), sucre, pulpe d'orange, acidifiant : acide citrique, arômes naturels d'orange avec autres arômes naturels, antioxydant : acide ascorbique, colorant : bêta-carotène.",,
5449000196057,Fruit & Nada,minute maid,"beverages, carbonated-drinks, sodas, lemonade",united-kingdom,"plastic, bottle",,,d,4.0,,"eau de source, jus de fruits à base de concentré 13% (citron 12%, citron vert 1%), sucre, pulpe de citron, citrate de sodium, arome naturel de citron, acide ascorbique, beta-carotene",,
5449000196408,Fruit & Nada - Boisson rafraîchissante avec jus de citron et citron vert,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, unsweetened-beverages, sweetened-beverages",france,"plastic, bottle",,,unknown,4.0,,"Eau de source, jus de fruits à base de concentré 13 % (citron 12 %, citron vert 1 %), sucre, pulpe de citron, correcteur d'acidité : citrate de sodium, arôme naturel de citron, antioxydant : acide ascorbique, colorant : bêta-carotène.",,
