code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
0860009776500,Magic Lentil Dip,Maazah,,united-states,,,,unknown,,,,0.0,214.0
0867051000492,Roasted Red Pepper Lentil Dip,Maazah,,united-states,,,,unknown,,,,0.0,214.0
0867051000485,Turmeric Ginger Lentil Dip,Maazah Lentil Dip,,united-states,,,,unknown,,,,0.0,214.0
8720157400981,Passion Fruit Drink,Maaza,,netherlands,,,,unknown,4.0,,"Water, passievruchtsap uit concentraat 14%, suiker, verdikkingsmiddel (cellulosegom), aroma, kleurstof (bètacaroteen)",,
0860009776562,Chili Aioli,Maazah,,united-states,,,,unknown,,,,,
0860009776593,Turmeric Ginger Lentil Dip,Maazah,,united-states,,,,unknown,,,,0.0,214.0
8720157400882,mangosap,maaza,,netherlands,,,,unknown,,,,,
1001560092800,maazaaa,,,india,,,,unknown,,,,,
3948764175015,Maaza 125 ml,Maaza,,united-kingdom,,,,unknown,,,,,
0860014125362,Roasted Red Pepper Lentil Dip,Maazah,,united-states,,,,unknown,,,,,
0860014121333,Roasted Red Pepper Lentil Dip,Maazah,,united-states,,,,unknown,,,,,
8901764421273,Maaza can,"Coca-Cola Company, Maaza","beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, sweetened-beverages, Ready to serve fruit drink",india,,,,e,4.0,,"WATER, MANGO PULP (19.5%), SUGAR. ACIDITY REGULATORS (330, 331(iii)), ANTIOXIDANT (300), PRESERVATIVE (202) COLOUR (110), MANGO FLAVOURS (NATURAL, NATURE-IDENTICAL & ARTIFICIAL FLAVORING SUBSTANCES).",,
8720157400905,Tropical Fruit Drink,Maaza,,denmark,,,,unknown,,,,,
8720157468752,Mango fruity ice stick,Maaza,"desserts, frozen-foods, frozen-desserts, ice-pops",netherlands,,,,c,4.0,,"Water, suiker, mangopuree 16%, voedingszuur (citroenzuur), aroma, kleurstof (bètacaroteen), antioxidant (ascorbinezuur), plantaardige voedingsvezel.",,
00030480,Maaza Banana juice drink,Maaza,,netherlands,,,,unknown,,,,,
00107913,Maaza Kokoswater,Maaza,,netherlands,,,,unknown,,,,,
00083670,Maaza Mango drink,Maaza,,netherlands,,,,unknown,,,,,
00082606,Maaza Passion fruit drink,Maaza,,netherlands,,,,unknown,,,,,
00094257,Maaza Sparkling guava,Maaza,,netherlands,,,,unknown,,,,,
00094258,Maaza Sparkling mango,Maaza,,netherlands,,,,unknown,,,,,
00083669,Maaza Tropical drink,Maaza,,netherlands,,,,unknown,,,,,
06605360,Maaza banaan,Maaza,,netherlands,,,,unknown,,,,,
06611112,Maaza banaan 350ml,Maaza,,netherlands,,,,unknown,,,,,
06611561,Maaza Banana,Maaza,,netherlands,,,,unknown,,,,,
06612789,Maaza fruitijs mango,Maaza,,netherlands,,,,unknown,,,,,
06611560,Maaza Guava,Maaza,,netherlands,,,,unknown,,,,,
06611114,Maaza guava 350ml,Maaza,,netherlands,,,,unknown,,,,,
06614893,Maaza Guava GST,Maaza,,netherlands,,,,unknown,,,,,
06605805,Maaza guave,Maaza,,netherlands,,,,unknown,,,,,
06611111,Maaza kokosnootwater,Maaza,,netherlands,,,,unknown,,,,,
06605361,Maaza mango,Maaza,,netherlands,,,,unknown,,,,,
06611559,Maaza Mango,Maaza,,netherlands,,,,unknown,,,,,
06611113,Maaza mango 350ml,Maaza,,netherlands,,,,unknown,,,,,
06614892,Maaza Mango GST,Maaza,,netherlands,,,,unknown,,,,,
06605358,Maaza tropical,Maaza,,netherlands,,,,unknown,,,,,
06611558,Maaza Tropical,Maaza,,netherlands,,,,unknown,,,,,
06611115,Maaza tropical 350ml,Maaza,,netherlands,,,,unknown,,,,,
