code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
9315596002590,Schweppes Lemon Lime with Natural Mineral Water,Schweppes,,australia,,,,unknown,,,"carbonated water (mineral water 80, purified water 11). reconstituted juices (lemon 4.5%, lime 0.5%), sugar, hatural flavours, food acids (citric acid, sodium citrate), presertives (211 202) 1natural colour (saffloer extract) de in austrail from (ocal and imported ingredientis. schweppes, devices and scheppervescence are trade marks s used under licence in australia by asahi beverages. asahi beverages, 2 beverage drive, tullamarine, victoria, 3043, australiá. www.schweppes.com.au nts ii purchase",,
4000140713392,Schweppes Zero,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, diet-beverages",germany,,,,c,4.0,,"Wasser, Kohlensäure, färbende Konzentrate 0,25 (Apfel, Hibiskus, Karotte), Säuerungsmittel Citronen - säure, Süßungsmittel (Acesulfam K, Sucralose), Aromen Original Wild Berry Zero yon Schweppes: Erfrischend Ohne Zucker",,
8414100942658,Tónica original,Schweppes,,spain,,,,unknown,,,,,
9315596007298,schweppes raspberry,Schweppes,,australia,,,,unknown,4.0,unknown,"carbonated water, sugar, food acids (citric acid, sodium citrate), natural flavours (with brazilian orange oils), natural colour (anthocyanin), preservative (sodium benzoate).",,
0078000005271,Schweppes Seltzer,Schweppes,,france,,,,unknown,,,,,
5449000238856,Tonic Water,Schweppes,,united-kingdom,,,,unknown,,,,,
4000140712487,Ginger Beer,Schweppes,,germany,,,,unknown,,,,,
8014396002694,Ginger ale,Schweppes,,france,,,,unknown,,,,,
8414100387626,Ginger beer and chili,Schweppes,"beverages, non-alcoholic-beverages, non-alcoholic-beers, ginger-beer",france,,,,unknown,,,"es Secante de extracts edenés aquarica ape de quase huose antendo cartónico do de carbono aroma natural de notre con otros aromas naturales/aroma natural de gengibre com Outros aromas naturais (02% acidulante / acidificante ácido tartanico antioxidante: acido ascórbico conser vador conservante: E-202 y/e aroma natural de pimiento / pimento (0.003% Mantener en lugar fresco y seca Proteger de la luz solar y de olores intensos Manter em lugar fresco, seco e a / 20cl abrigo da luz solare de cheiros intensos 2",,
8014396002656,Scheppes Limone,Schweppes,,france,,,,unknown,,,,,
4000140704734,Dry Tonic Water,Schweppes,"beverages-and-beverages-preparations, beverages","france, germany",,,,d,,,,,
4000140712661,Fruity mango & passionsfrucht,Schweppes,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas, lemonade, lemonade-with-sugar, sweetened-beverages",germany,plastic,,,d,4.0,,"Wasser, Zucker, Passionsfruchtsaff - konzentrat, Kohlensäure, Mangosaftkonzentrat, Mangomark, Orangensaftkonzentrat, Zitronensaftkonzentrat, Säueru asmitte Citronensäure, natürliches Aroma, Antiox dationsmittel Ascorbin - säure, Stabilisator Johannisbrotkernmehl, Farbstoff Carotin. Die natürlichen Zutaten können sich am Flaschenboden absetzen.",,
8014396003301,Soda water,Schweppes,,france,,,,unknown,,,,,
4000140712135,American Ginger Ale,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas",germany,,REWE,,c,4.0,,"Wasser, Kohlensäure, natürliches Aroma, Säuerungsmittel, Citronensäure, natürliches Ingwer-Aroma, Süßungsmittel (Natriumcyclamat, Acesulfam-K, Natriumsaccharin und Sucralose), Säureregulator Trinatriumcitrat, Farbstoff E 150d",,
5902860412656,Indian tonic,Schweppes,"beverages-and-beverages-preparations, beverages","germany, switzerland",,,,unknown,,,,,
8014396003073,Tonica zero pet,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, diet-beverages, diet-sodas","france, italy",,,,unknown,4.0,,"Bibita analcolica gassata con edulcoranti senza zucchero. Ingredienti: acqua, anidride carbonica acidificante: acido citrico, aromi naturali, edulcoranti: acesulfame-K, ciclamato di sodio, sodio saccarinato, aroma: cloridrato di chinino.",,
9315596006345,SCHW AGRUM BLD ORANGE 1.1L,Schweppes,,australia,plastic,"Woolworths,Coles",Australia,unknown,4.0,,"CARBONATED MIER, SUGAR, FOOD ACID (330), FLAVOURS, PRESERVATIVE (1), COLOURS (150d, 102, 122, 110)",28.8,120.2
8014396003387,Schweppes agrumi,,,italy,,,,unknown,,,,,
3124480194480,Schweppes framboos,Schweppes,beverages,"belgium, france",plastic,carrefour.fr,,c,,,,,
0187015000055,Schweppes agrum,Schweppes,,france,,,,unknown,,,,,
5902860410492,Shweppes Citrus Mix,Schweppes,,france,,,,unknown,,,,,
3124480194497,Schweppes pamplemousse touche de romarin,"Orangina Schweppes, Schweppes","beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, diet-beverages, diet-sodas, sweetened-beverages","belgium, france",plastic,,,d,4.0,,"Eau gazéifiée, jus de pamplemousse rose à base de concentré (5%), Sucre, arôme naturel de pamplemousse, acidifiant : acide citrique, extrait de romarin, colorant : acide carminique, édulcorant : glycosides de stéviol, jus concentré de carotte pourpre,",,
3124480193643,Schweppes pink tonic,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas, tonic-water, sweetened-beverages","france, germany",,carrefour.fr,,c,,,,,
5000193940966,Blackcurrant cordial,Schweppes,cordial,united-kingdom,,,,a,4.0,,"Water, Sugar, Citric Acid, Colours (Caramel E150d, Anthocyanins), Acidity Regulator (Sodium Citrate), Flavourings, Preservatives (Sodium Benzoate, Potassium Sorbate), Sweeteners (Aspartame, Sodium Saccharin)",,
5902860411895,Schweppes THE ORIGINAL LEMON,,,france,,,,unknown,,,,,
3124480193698,Ginger Beer,Schweppes,"beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, non-alcoholic-beverages, non-alcoholic-beers, ginger-beer, sweetened-beverages",france,plastic,"carrefour.fr,Super U",,d,4.0,,"Eau gazéifiée, sucre, correcteurs d'acidité: acide tartrique et citrate de sodium, stabilisant : gomme d'acacia, arome naturel de gingembre avec autres arômes naturels, antioxydant : acide ascorbique, conservateur : sorbate de potassium, édulcorants : acesulfame K et sucralose, extrait de gingembre,",,
5449000062970,Lemonade,Schweppes,,united-kingdom,,,,unknown,,,,,
8014396003356,Schweppes ginger beer,Schweppes,,italy,glass,,,unknown,,,,,
5449000294623,Schweppes Light Tonic Water,Schweppes,,united-kingdom,,,,unknown,,,,,
0078000024517,Cranberry lime,Schweppes,,united-states,,,,unknown,,unknown,,0.0,0.0
42105190,Pomegranate,Schweppes,,tunisia,,,,unknown,,unknown,,14.5,57.99999999999999
0016600000227,Ginger Ale,Schweppes,"beverages, carbonated-drinks, sodas",canada,"plastic, bottle",Dollarama,"Calgary,Alberta,Canada",e,4.0,,"Carbonated water, Sugars (sugar/glucose-fructose), Citric acid, Sodium benzoate, Caramel colour, Natural flavour",,
